"trial","deck","subjID","gain","loss"
1,1,"407",100,0
2,2,"407",100,0
3,3,"407",50,0
4,4,"407",50,0
5,1,"407",120,0
6,2,"407",80,0
7,3,"407",60,0
8,4,"407",40,0
9,1,"407",80,-150
10,2,"407",110,0
11,3,"407",40,-50
12,4,"407",45,0
13,1,"407",90,0
14,2,"407",120,0
15,3,"407",55,0
16,4,"407",45,0
17,1,"407",110,-300
18,2,"407",90,0
19,3,"407",55,-50
20,4,"407",55,0
21,2,"407",100,0
22,3,"407",45,0
23,4,"407",60,0
24,3,"407",50,-50
25,2,"407",90,0
26,4,"407",40,0
27,2,"407",120,0
28,4,"407",55,0
29,2,"407",110,-1250
30,4,"407",50,0
31,2,"407",80,0
32,4,"407",60,-250
33,2,"407",110,0
34,4,"407",55,0
35,2,"407",100,0
36,4,"407",40,0
37,2,"407",90,0
38,4,"407",60,0
39,2,"407",130,-1500
40,4,"407",40,0
41,2,"407",120,0
42,4,"407",45,0
43,2,"407",130,0
44,4,"407",55,0
45,2,"407",110,0
46,4,"407",65,0
47,2,"407",90,0
48,4,"407",70,0
49,2,"407",100,0
50,2,"407",120,0
51,4,"407",50,0
52,1,"407",100,0
53,1,"407",80,-200
54,4,"407",70,-275
55,2,"407",120,-1750
56,3,"407",45,0
57,4,"407",60,0
58,3,"407",60,-50
59,3,"407",40,-50
60,4,"407",55,0
61,4,"407",65,0
62,2,"407",110,0
63,4,"407",80,0
64,4,"407",40,0
65,2,"407",140,0
66,3,"407",55,0
67,4,"407",80,0
68,4,"407",40,0
69,3,"407",55,-25
70,2,"407",130,0
71,2,"407",100,0
72,2,"407",110,0
73,2,"407",120,0
74,3,"407",65,-75
75,2,"407",120,0
76,3,"407",45,0
77,3,"407",70,-25
78,4,"407",65,0
79,4,"407",55,-300
80,4,"407",60,0
81,4,"407",65,0
82,4,"407",75,0
83,4,"407",60,0
84,4,"407",65,0
85,4,"407",75,-325
86,2,"407",140,0
87,2,"407",110,0
88,2,"407",130,0
89,2,"407",140,-2000
90,1,"407",120,0
91,1,"407",110,-250
92,3,"407",40,0
93,3,"407",50,-25
94,4,"407",85,0
95,4,"407",45,0
96,4,"407",55,0
97,4,"407",70,0
98,4,"407",55,0
99,4,"407",70,0
100,4,"407",80,0
1,1,"408",100,0
2,2,"408",100,0
3,3,"408",50,0
4,4,"408",50,0
5,1,"408",120,0
6,2,"408",80,0
7,3,"408",60,0
8,4,"408",40,0
9,1,"408",80,-150
10,2,"408",110,0
11,3,"408",40,-50
12,1,"408",90,0
13,2,"408",120,0
14,2,"408",90,0
15,1,"408",110,-300
16,2,"408",100,0
17,2,"408",90,0
18,2,"408",120,0
19,2,"408",110,-1250
20,3,"408",55,0
21,4,"408",45,0
22,2,"408",80,0
23,2,"408",110,0
24,2,"408",100,0
25,2,"408",90,0
26,2,"408",130,-1500
27,2,"408",120,0
28,2,"408",130,0
29,2,"408",110,0
30,2,"408",90,0
31,2,"408",100,0
32,1,"408",100,0
33,1,"408",80,-200
34,2,"408",120,0
35,2,"408",120,-1750
36,3,"408",55,-50
37,4,"408",45,0
38,4,"408",55,0
39,4,"408",60,0
40,4,"408",40,0
41,4,"408",55,0
42,2,"408",110,0
43,2,"408",140,0
44,2,"408",130,0
45,2,"408",100,0
46,2,"408",110,0
47,1,"408",120,0
48,1,"408",110,-250
49,1,"408",90,-350
50,2,"408",120,0
51,2,"408",120,0
52,3,"408",45,0
53,3,"408",50,-50
54,4,"408",50,0
55,4,"408",60,-250
56,1,"408",110,0
57,1,"408",130,-350
58,2,"408",140,0
59,2,"408",110,0
60,2,"408",130,0
61,2,"408",140,-2000
62,1,"408",90,0
63,1,"408",100,-250
64,4,"408",55,0
65,4,"408",40,0
66,4,"408",60,0
67,4,"408",40,0
68,4,"408",45,0
69,4,"408",55,0
70,4,"408",65,0
71,4,"408",70,0
72,4,"408",50,0
73,4,"408",70,-275
74,3,"408",45,0
75,3,"408",60,-50
76,4,"408",60,0
77,4,"408",55,0
78,4,"408",65,0
79,4,"408",80,0
80,4,"408",40,0
81,4,"408",80,0
82,4,"408",40,0
83,1,"408",120,-200
84,2,"408",120,0
85,2,"408",110,0
86,2,"408",130,0
87,2,"408",150,0
88,2,"408",110,0
89,4,"408",65,0
90,4,"408",55,-300
91,4,"408",60,0
92,4,"408",65,0
93,4,"408",75,0
94,4,"408",60,0
95,4,"408",65,0
96,4,"408",75,-325
97,1,"408",110,0
98,1,"408",90,-300
99,2,"408",150,0
100,2,"408",120,0
1,1,"409",100,0
2,1,"409",120,0
3,1,"409",80,-150
4,2,"409",100,0
5,2,"409",80,0
6,3,"409",50,0
7,3,"409",60,0
8,4,"409",50,0
9,4,"409",40,0
10,2,"409",110,0
11,2,"409",120,0
12,3,"409",40,-50
13,4,"409",45,0
14,4,"409",45,0
15,2,"409",90,0
16,2,"409",100,0
17,4,"409",55,0
18,4,"409",60,0
19,1,"409",90,0
20,1,"409",110,-300
21,2,"409",90,0
22,2,"409",120,0
23,4,"409",40,0
24,4,"409",55,0
25,2,"409",110,-1250
26,3,"409",55,0
27,3,"409",55,-50
28,4,"409",50,0
29,4,"409",60,-250
30,1,"409",100,0
31,4,"409",55,0
32,2,"409",80,0
33,2,"409",110,0
34,4,"409",40,0
35,4,"409",60,0
36,4,"409",40,0
37,4,"409",45,0
38,1,"409",80,-200
39,2,"409",100,0
40,2,"409",90,0
41,2,"409",130,-1500
42,3,"409",45,0
43,3,"409",50,-50
44,3,"409",45,0
45,3,"409",60,-50
46,4,"409",55,0
47,1,"409",120,0
48,3,"409",40,-50
49,2,"409",120,0
50,4,"409",65,0
51,2,"409",130,0
52,3,"409",55,0
53,4,"409",70,0
54,1,"409",110,-250
55,1,"409",90,-350
56,2,"409",110,0
57,2,"409",90,0
58,2,"409",100,0
59,3,"409",55,-25
60,4,"409",50,0
61,1,"409",110,0
62,2,"409",120,0
63,3,"409",65,-75
64,4,"409",70,-275
65,2,"409",120,-1750
66,3,"409",45,0
67,3,"409",70,-25
68,3,"409",40,0
69,3,"409",50,-25
70,4,"409",60,0
71,4,"409",55,0
72,4,"409",65,0
73,4,"409",80,0
74,4,"409",40,0
75,4,"409",80,0
76,4,"409",40,0
77,4,"409",65,0
78,4,"409",55,-300
79,4,"409",60,0
80,4,"409",65,0
81,4,"409",75,0
82,4,"409",60,0
83,4,"409",65,0
84,1,"409",130,-350
85,1,"409",90,0
86,1,"409",100,-250
87,2,"409",110,0
88,2,"409",140,0
89,2,"409",130,0
90,2,"409",100,0
91,2,"409",110,0
92,2,"409",120,0
93,2,"409",120,0
94,3,"409",60,-75
95,3,"409",70,0
96,3,"409",40,-50
97,2,"409",140,0
98,2,"409",110,0
99,2,"409",130,0
100,2,"409",140,-2000
1,1,"410",100,0
2,4,"410",50,0
3,1,"410",120,0
4,3,"410",50,0
5,1,"410",80,-150
6,2,"410",100,0
7,2,"410",80,0
8,2,"410",110,0
9,2,"410",120,0
10,2,"410",90,0
11,3,"410",60,0
12,2,"410",100,0
13,1,"410",90,0
14,4,"410",40,0
15,2,"410",90,0
16,1,"410",110,-300
17,1,"410",100,0
18,1,"410",80,-200
19,2,"410",120,0
20,2,"410",110,-1250
21,2,"410",80,0
22,2,"410",110,0
23,4,"410",45,0
24,3,"410",40,-50
25,1,"410",120,0
26,2,"410",100,0
27,4,"410",45,0
28,2,"410",90,0
29,3,"410",55,0
30,1,"410",110,-250
31,4,"410",55,0
32,4,"410",60,0
33,4,"410",40,0
34,4,"410",55,0
35,4,"410",50,0
36,4,"410",60,-250
37,4,"410",55,0
38,4,"410",40,0
39,2,"410",130,-1500
40,3,"410",55,-50
41,3,"410",45,0
42,3,"410",50,-50
43,4,"410",60,0
44,4,"410",40,0
45,4,"410",45,0
46,4,"410",55,0
47,4,"410",65,0
48,4,"410",70,0
49,4,"410",50,0
50,4,"410",70,-275
51,3,"410",45,0
52,3,"410",60,-50
53,1,"410",90,-350
54,3,"410",40,-50
55,2,"410",120,0
56,2,"410",130,0
57,2,"410",110,0
58,2,"410",90,0
59,2,"410",100,0
60,2,"410",120,0
61,2,"410",120,-1750
62,2,"410",110,0
63,2,"410",140,0
64,2,"410",130,0
65,2,"410",100,0
66,3,"410",55,0
67,3,"410",55,-25
68,4,"410",60,0
69,4,"410",55,0
70,2,"410",110,0
71,2,"410",120,0
72,1,"410",110,0
73,1,"410",130,-350
74,2,"410",120,0
75,2,"410",140,0
76,2,"410",110,0
77,2,"410",130,0
78,2,"410",140,-2000
79,4,"410",65,0
80,4,"410",80,0
81,4,"410",40,0
82,4,"410",80,0
83,4,"410",40,0
84,3,"410",65,-75
85,4,"410",65,0
86,4,"410",55,-300
87,1,"410",90,0
88,2,"410",120,0
89,1,"410",100,-250
90,2,"410",110,0
91,2,"410",130,0
92,2,"410",150,0
93,1,"410",120,-200
94,2,"410",110,0
95,3,"410",45,0
96,2,"410",150,0
97,3,"410",70,-25
98,2,"410",120,0
99,3,"410",40,0
100,3,"410",50,-25
1,3,"411",50,0
2,2,"411",100,0
3,3,"411",60,0
4,2,"411",80,0
5,4,"411",50,0
6,3,"411",40,-50
7,2,"411",110,0
8,1,"411",100,0
9,3,"411",55,0
10,4,"411",40,0
11,2,"411",120,0
12,1,"411",120,0
13,3,"411",55,-50
14,2,"411",90,0
15,2,"411",100,0
16,4,"411",45,0
17,4,"411",45,0
18,3,"411",45,0
19,3,"411",50,-50
20,1,"411",80,-150
21,2,"411",90,0
22,3,"411",45,0
23,3,"411",60,-50
24,4,"411",55,0
25,4,"411",60,0
26,4,"411",40,0
27,4,"411",55,0
28,4,"411",50,0
29,4,"411",60,-250
30,3,"411",40,-50
31,3,"411",55,0
32,3,"411",55,-25
33,3,"411",65,-75
34,1,"411",90,0
35,1,"411",110,-300
36,2,"411",120,0
37,2,"411",110,-1250
38,3,"411",45,0
39,3,"411",70,-25
40,3,"411",40,0
41,3,"411",50,-25
42,4,"411",55,0
43,4,"411",40,0
44,4,"411",60,0
45,4,"411",40,0
46,4,"411",45,0
47,4,"411",55,0
48,4,"411",65,0
49,4,"411",70,0
50,4,"411",50,0
51,4,"411",70,-275
52,3,"411",60,-75
53,3,"411",70,0
54,3,"411",40,-50
55,3,"411",60,0
56,3,"411",65,-25
57,3,"411",55,0
58,3,"411",80,-50
59,2,"411",80,0
60,2,"411",110,0
61,1,"411",100,0
62,1,"411",80,-200
63,4,"411",60,0
64,4,"411",55,0
65,3,"411",40,-25
66,3,"411",60,-50
67,2,"411",100,0
68,1,"411",120,0
69,1,"411",110,-250
70,2,"411",90,0
71,2,"411",130,-1500
72,3,"411",55,0
73,3,"411",65,-25
74,4,"411",65,0
75,4,"411",80,0
76,4,"411",40,0
77,4,"411",80,0
78,3,"411",40,-75
79,1,"411",90,-350
80,1,"411",110,0
81,1,"411",130,-350
82,4,"411",40,0
83,4,"411",65,0
84,4,"411",55,-300
85,4,"411",60,0
86,4,"411",65,0
87,4,"411",75,0
88,4,"411",60,0
89,3,"411",80,-50
90,2,"411",120,0
91,2,"411",130,0
92,1,"411",90,0
93,1,"411",100,-250
94,2,"411",110,0
95,2,"411",90,0
96,2,"411",100,0
97,2,"411",120,0
98,2,"411",120,-1750
99,2,"411",110,0
100,2,"411",140,0
1,4,"412",50,0
2,3,"412",50,0
3,2,"412",100,0
4,2,"412",80,0
5,1,"412",100,0
6,2,"412",110,0
7,3,"412",60,0
8,1,"412",120,0
9,1,"412",80,-150
10,4,"412",40,0
11,3,"412",40,-50
12,1,"412",90,0
13,2,"412",120,0
14,2,"412",90,0
15,1,"412",110,-300
16,4,"412",45,0
17,2,"412",100,0
18,3,"412",55,0
19,1,"412",100,0
20,2,"412",90,0
21,3,"412",55,-50
22,4,"412",45,0
23,2,"412",120,0
24,1,"412",80,-200
25,3,"412",45,0
26,4,"412",55,0
27,4,"412",60,0
28,4,"412",40,0
29,2,"412",110,-1250
30,4,"412",55,0
31,4,"412",50,0
32,4,"412",60,-250
33,3,"412",50,-50
34,1,"412",120,0
35,2,"412",80,0
36,3,"412",45,0
37,1,"412",110,-250
38,2,"412",110,0
39,4,"412",55,0
40,3,"412",60,-50
41,4,"412",40,0
42,1,"412",90,-350
43,2,"412",100,0
44,4,"412",60,0
45,3,"412",40,-50
46,4,"412",40,0
47,1,"412",110,0
48,3,"412",55,0
49,4,"412",45,0
50,3,"412",55,-25
51,3,"412",65,-75
52,4,"412",55,0
53,4,"412",65,0
54,4,"412",70,0
55,4,"412",50,0
56,4,"412",70,-275
57,4,"412",60,0
58,4,"412",55,0
59,4,"412",65,0
60,4,"412",80,0
61,4,"412",40,0
62,2,"412",90,0
63,2,"412",130,-1500
64,1,"412",130,-350
65,4,"412",80,0
66,4,"412",40,0
67,4,"412",65,0
68,3,"412",45,0
69,3,"412",70,-25
70,3,"412",40,0
71,3,"412",50,-25
72,4,"412",55,-300
73,2,"412",120,0
74,1,"412",90,0
75,4,"412",60,0
76,4,"412",65,0
77,4,"412",75,0
78,4,"412",60,0
79,1,"412",100,-250
80,1,"412",120,-200
81,2,"412",130,0
82,2,"412",110,0
83,2,"412",90,0
84,4,"412",65,0
85,4,"412",75,-325
86,4,"412",85,0
87,3,"412",60,-75
88,3,"412",70,0
89,3,"412",40,-50
90,2,"412",100,0
91,2,"412",120,0
92,4,"412",45,0
93,4,"412",55,0
94,4,"412",70,0
95,3,"412",60,0
96,3,"412",65,-25
97,4,"412",55,0
98,4,"412",70,0
99,4,"412",80,0
100,1,"412",110,0
1,3,"413",50,0
2,2,"413",100,0
3,1,"413",100,0
4,4,"413",50,0
5,1,"413",120,0
6,2,"413",80,0
7,1,"413",80,-150
8,3,"413",60,0
9,4,"413",40,0
10,2,"413",110,0
11,2,"413",120,0
12,2,"413",90,0
13,2,"413",100,0
14,2,"413",90,0
15,2,"413",120,0
16,2,"413",110,-1250
17,1,"413",90,0
18,1,"413",110,-300
19,3,"413",40,-50
20,4,"413",45,0
21,4,"413",45,0
22,4,"413",55,0
23,4,"413",60,0
24,4,"413",40,0
25,4,"413",55,0
26,4,"413",50,0
27,4,"413",60,-250
28,1,"413",100,0
29,2,"413",80,0
30,3,"413",55,0
31,4,"413",55,0
32,1,"413",80,-200
33,2,"413",110,0
34,2,"413",100,0
35,2,"413",90,0
36,2,"413",130,-1500
37,3,"413",55,-50
38,4,"413",40,0
39,4,"413",60,0
40,4,"413",40,0
41,4,"413",45,0
42,4,"413",55,0
43,4,"413",65,0
44,4,"413",70,0
45,4,"413",50,0
46,4,"413",70,-275
47,4,"413",60,0
48,4,"413",55,0
49,4,"413",65,0
50,4,"413",80,0
51,4,"413",40,0
52,4,"413",80,0
53,4,"413",40,0
54,4,"413",65,0
55,4,"413",55,-300
56,1,"413",120,0
57,1,"413",110,-250
58,2,"413",120,0
59,2,"413",130,0
60,2,"413",110,0
61,2,"413",90,0
62,2,"413",100,0
63,2,"413",120,0
64,2,"413",120,-1750
65,3,"413",45,0
66,3,"413",50,-50
67,3,"413",45,0
68,3,"413",60,-50
69,1,"413",90,-350
70,3,"413",40,-50
71,3,"413",55,0
72,3,"413",55,-25
73,4,"413",60,0
74,4,"413",65,0
75,4,"413",75,0
76,4,"413",60,0
77,4,"413",65,0
78,4,"413",75,-325
79,4,"413",85,0
80,4,"413",45,0
81,4,"413",55,0
82,4,"413",70,0
83,4,"413",55,0
84,4,"413",70,0
85,4,"413",80,0
86,4,"413",65,0
87,4,"413",70,0
88,4,"413",80,-350
89,2,"413",110,0
90,2,"413",140,0
91,2,"413",130,0
92,2,"413",100,0
93,2,"413",110,0
94,2,"413",120,0
95,2,"413",120,0
96,2,"413",140,0
97,2,"413",110,0
98,2,"413",130,0
99,2,"413",140,-2000
100,1,"413",110,0
1,1,"414",100,0
2,1,"414",120,0
3,1,"414",80,-150
4,1,"414",90,0
5,1,"414",110,-300
6,1,"414",100,0
7,2,"414",100,0
8,2,"414",80,0
9,3,"414",50,0
10,3,"414",60,0
11,4,"414",50,0
12,4,"414",40,0
13,1,"414",80,-200
14,2,"414",110,0
15,1,"414",120,0
16,4,"414",45,0
17,4,"414",45,0
18,3,"414",40,-50
19,3,"414",55,0
20,3,"414",55,-50
21,4,"414",55,0
22,1,"414",110,-250
23,2,"414",120,0
24,1,"414",90,-350
25,4,"414",60,0
26,4,"414",40,0
27,3,"414",45,0
28,3,"414",50,-50
29,2,"414",90,0
30,2,"414",100,0
31,1,"414",110,0
32,4,"414",55,0
33,3,"414",45,0
34,2,"414",90,0
35,1,"414",130,-350
36,1,"414",90,0
37,1,"414",100,-250
38,4,"414",50,0
39,3,"414",60,-50
40,3,"414",40,-50
41,3,"414",55,0
42,3,"414",55,-25
43,3,"414",65,-75
44,3,"414",45,0
45,3,"414",70,-25
46,3,"414",40,0
47,3,"414",50,-25
48,3,"414",60,-75
49,3,"414",70,0
50,3,"414",40,-50
51,3,"414",60,0
52,3,"414",65,-25
53,3,"414",55,0
54,3,"414",80,-50
55,3,"414",40,-25
56,3,"414",60,-50
57,3,"414",55,0
58,3,"414",65,-25
59,3,"414",40,-75
60,3,"414",80,-50
61,3,"414",65,-25
62,3,"414",75,0
63,3,"414",55,-25
64,3,"414",60,-25
65,3,"414",70,-25
66,3,"414",65,0
67,3,"414",55,-75
68,3,"414",75,-25
69,3,"414",45,-50
70,3,"414",85,-75
71,3,"414",70,-25
72,3,"414",80,0
73,3,"414",60,-25
74,3,"414",65,-25
75,3,"414",75,-25
76,3,"414",70,-25
77,3,"414",60,-75
78,3,"414",80,-25
79,3,"414",50,-50
80,3,"414",90,-75
81,3,"414",75,-25
82,3,"414",85,-25
83,4,"414",60,-250
84,3,"414",65,-25
85,3,"414",70,-25
86,3,"414",80,-25
87,3,"414",75,-25
88,3,"414",65,-75
89,3,"414",85,-25
90,3,"414",55,-50
91,3,"414",95,-75
92,2,"414",120,0
93,2,"414",110,-1250
94,2,"414",80,0
95,1,"414",120,-200
96,2,"414",110,0
97,2,"414",100,0
98,2,"414",90,0
