"sub_id","Wins_1","Wins_2","Wins_3","Wins_4","Wins_5","Wins_6","Wins_7","Wins_8","Wins_9","Wins_10","Wins_11","Wins_12","Wins_13","Wins_14","Wins_15","Wins_16","Wins_17","Wins_18","Wins_19","Wins_20","Wins_21","Wins_22","Wins_23","Wins_24","Wins_25","Wins_26","Wins_27","Wins_28","Wins_29","Wins_30","Wins_31","Wins_32","Wins_33","Wins_34","Wins_35","Wins_36","Wins_37","Wins_38","Wins_39","Wins_40","Wins_41","Wins_42","Wins_43","Wins_44","Wins_45","Wins_46","Wins_47","Wins_48","Wins_49","Wins_50","Wins_51","Wins_52","Wins_53","Wins_54","Wins_55","Wins_56","Wins_57","Wins_58","Wins_59","Wins_60","Wins_61","Wins_62","Wins_63","Wins_64","Wins_65","Wins_66","Wins_67","Wins_68","Wins_69","Wins_70","Wins_71","Wins_72","Wins_73","Wins_74","Wins_75","Wins_76","Wins_77","Wins_78","Wins_79","Wins_80","Wins_81","Wins_82","Wins_83","Wins_84","Wins_85","Wins_86","Wins_87","Wins_88","Wins_89","Wins_90","Wins_91","Wins_92","Wins_93","Wins_94","Wins_95","Wins_96","Wins_97","Wins_98","Wins_99","Wins_100","age"
"317",100,50,60,80,110,40,120,100,50,90,120,80,100,90,55,120,40,110,55,90,110,100,45,45,80,80,45,50,55,110,60,120,40,110,100,90,130,45,55,90,120,130,60,50,60,110,130,110,90,40,55,40,55,100,120,90,60,55,40,65,100,120,45,70,45,55,40,110,140,120,110,65,50,60,70,130,100,50,70,90,110,120,70,40,60,120,130,60,55,65,65,55,140,110,120,80,40,80,80,40,1
"318",100,50,100,50,120,60,80,40,80,40,110,45,90,55,120,45,110,55,90,55,100,45,100,60,80,50,90,40,120,45,120,55,110,60,110,50,40,80,90,110,60,55,110,100,55,55,130,90,40,65,130,90,120,100,130,45,60,110,70,40,90,40,45,100,50,55,120,60,65,120,120,110,140,130,100,110,120,120,140,110,130,140,120,110,130,150,70,40,70,50,70,110,90,110,150,120,140,140,150,130,1
"319",100,50,40,100,120,80,80,50,110,90,45,45,110,60,40,100,55,80,120,90,55,55,45,100,120,90,120,50,60,110,40,110,55,45,50,90,80,110,60,110,100,60,90,130,40,90,130,100,55,40,120,130,120,55,55,60,110,110,90,65,90,100,130,45,70,40,120,45,40,120,55,110,50,65,70,140,60,130,50,70,100,70,120,110,120,40,120,60,55,140,110,65,80,130,140,100,120,110,60,130,1
"320",100,120,80,100,80,50,60,50,40,90,110,120,40,110,90,55,45,55,45,100,80,100,45,55,120,90,50,110,120,110,45,60,40,90,80,55,60,40,110,110,100,55,50,130,90,60,130,55,65,90,55,40,120,45,100,130,70,60,120,110,110,90,40,40,100,45,90,130,120,120,110,140,130,50,60,70,55,65,70,120,40,50,70,100,60,120,100,60,55,65,55,65,80,140,110,120,120,80,40,80,1
"321",50,50,100,100,40,120,60,45,80,80,40,45,110,55,120,60,90,40,100,55,90,50,120,60,110,55,90,55,110,55,80,45,100,40,110,50,80,60,45,100,40,60,120,90,45,110,40,130,55,120,55,90,65,55,130,70,110,90,50,110,65,130,100,70,45,70,120,60,120,90,100,55,110,40,65,140,120,80,50,130,40,100,110,80,120,120,140,110,130,140,40,60,120,65,55,110,130,110,70,60,1
"322",50,50,100,100,60,80,120,80,40,110,120,90,100,90,120,110,80,55,90,110,40,45,55,110,100,80,100,45,90,45,50,130,120,110,45,55,120,60,130,60,40,90,40,55,110,55,55,65,50,45,110,70,60,90,40,55,130,100,50,40,90,120,60,60,100,120,40,70,110,45,120,40,55,110,140,60,90,65,65,130,130,100,55,70,120,110,80,120,50,120,70,140,60,40,100,110,60,55,120,55,1
"323",100,100,50,50,40,60,80,120,40,80,110,120,45,55,45,90,90,100,55,110,100,90,60,55,120,40,80,110,55,80,110,45,100,50,120,50,110,60,90,55,90,40,130,45,110,120,60,130,60,110,130,90,40,40,55,90,45,55,100,65,100,55,65,70,120,120,50,70,45,110,120,110,90,140,70,60,55,65,130,80,130,40,40,100,110,80,120,120,40,120,65,140,50,55,110,130,100,60,65,140,1
"324",100,100,50,50,40,60,120,80,110,45,45,40,120,80,90,100,90,55,55,60,55,110,90,100,120,40,55,45,50,110,80,50,80,120,45,60,110,110,60,55,100,40,40,55,55,90,90,60,40,130,120,110,65,45,45,55,130,130,70,90,110,65,40,90,100,70,50,100,50,60,70,120,70,120,110,90,130,120,110,40,60,140,60,65,130,55,55,65,80,100,40,80,60,110,120,55,40,120,65,40,1
"325",100,120,80,90,110,100,80,110,120,50,60,50,40,45,45,55,60,40,55,50,40,60,55,90,55,40,60,40,45,55,65,55,100,100,70,50,80,90,70,60,45,120,55,50,65,45,80,110,40,60,80,120,80,110,40,110,40,55,65,100,55,90,90,55,60,65,110,75,65,60,45,65,70,75,40,85,50,45,60,55,70,70,40,55,60,70,65,80,55,65,80,70,40,80,60,130,55,90,65,40,1
"326",100,50,80,100,120,50,80,110,120,60,90,100,40,90,90,120,110,80,110,110,45,40,100,90,45,55,100,60,55,130,55,40,55,50,60,120,80,130,110,45,55,90,40,50,45,60,60,40,45,100,55,65,70,40,120,50,70,55,60,55,55,65,80,40,65,80,40,65,55,120,60,45,120,65,70,75,60,110,65,75,85,40,45,50,60,55,70,70,55,70,80,40,65,70,60,65,55,80,80,40,1
"327",100,120,80,100,80,50,50,110,60,40,120,40,45,90,110,90,100,55,55,45,55,90,120,45,50,100,80,110,45,60,40,60,55,50,60,120,110,80,40,110,55,100,40,90,90,60,130,110,130,120,130,55,110,40,90,90,100,55,120,45,120,100,110,140,65,55,65,70,45,130,70,100,110,50,120,70,120,120,40,60,50,140,60,55,110,65,80,70,130,40,40,140,120,80,40,65,60,110,110,65,1
"328",50,100,60,100,120,80,40,55,50,80,90,110,55,110,40,45,45,100,80,120,120,45,50,55,60,110,90,110,130,90,100,45,90,40,120,60,110,55,40,80,90,55,110,100,50,55,100,120,90,65,60,45,130,70,120,110,40,55,130,90,110,50,130,120,100,90,100,60,120,40,60,140,110,120,70,110,100,120,40,130,40,60,45,65,110,120,110,140,55,55,140,120,80,130,120,140,130,110,150,140,1
"329",50,50,40,60,40,45,45,55,60,40,55,50,60,100,100,80,120,110,80,120,90,55,55,100,90,40,55,90,110,120,60,45,50,40,110,45,45,100,80,60,55,110,100,90,130,80,65,40,70,50,70,120,130,110,90,100,120,120,120,55,60,110,110,140,55,55,130,90,65,65,100,110,80,110,45,40,130,120,70,80,120,40,140,65,110,55,130,40,90,140,100,120,50,60,110,120,65,75,60,130,1
"330",50,60,40,50,40,100,80,100,120,55,55,45,45,110,120,80,45,55,90,90,50,60,100,90,110,45,60,40,40,55,120,110,100,80,55,55,50,60,80,120,55,40,110,60,110,65,40,45,90,100,45,55,70,90,65,40,110,50,70,50,130,60,70,130,120,130,70,40,60,90,100,60,65,55,120,110,55,80,65,90,110,40,80,60,55,100,40,80,65,40,90,40,120,65,55,130,120,80,60,65,1
