"trial","deck","subjID","gain","loss"
1,2,"317",100,0
2,3,"317",50,0
3,3,"317",60,0
4,2,"317",80,0
5,2,"317",110,0
6,3,"317",40,-50
7,2,"317",120,0
8,1,"317",100,0
9,4,"317",50,0
10,2,"317",90,0
11,1,"317",120,0
12,1,"317",80,-150
13,2,"317",100,0
14,2,"317",90,0
15,3,"317",55,0
16,2,"317",120,0
17,4,"317",40,0
18,2,"317",110,-1250
19,3,"317",55,-50
20,1,"317",90,0
21,1,"317",110,-300
22,1,"317",100,0
23,4,"317",45,0
24,3,"317",45,0
25,2,"317",80,0
26,1,"317",80,-200
27,4,"317",45,0
28,3,"317",50,-50
29,4,"317",55,0
30,2,"317",110,0
31,4,"317",60,0
32,1,"317",120,0
33,4,"317",40,0
34,1,"317",110,-250
35,2,"317",100,0
36,2,"317",90,0
37,2,"317",130,-1500
38,3,"317",45,0
39,4,"317",55,0
40,1,"317",90,-350
41,2,"317",120,0
42,2,"317",130,0
43,3,"317",60,-50
44,4,"317",50,0
45,4,"317",60,-250
46,1,"317",110,0
47,1,"317",130,-350
48,2,"317",110,0
49,2,"317",90,0
50,3,"317",40,-50
51,4,"317",55,0
52,4,"317",40,0
53,3,"317",55,0
54,2,"317",100,0
55,2,"317",120,0
56,1,"317",90,0
57,4,"317",60,0
58,3,"317",55,-25
59,4,"317",40,0
60,3,"317",65,-75
61,1,"317",100,-250
62,2,"317",120,-1750
63,3,"317",45,0
64,3,"317",70,-25
65,4,"317",45,0
66,4,"317",55,0
67,3,"317",40,0
68,2,"317",110,0
69,2,"317",140,0
70,1,"317",120,-200
71,1,"317",110,0
72,4,"317",65,0
73,3,"317",50,-25
74,3,"317",60,-75
75,4,"317",70,0
76,2,"317",130,0
77,2,"317",100,0
78,4,"317",50,0
79,3,"317",70,0
80,1,"317",90,-300
81,2,"317",110,0
82,2,"317",120,0
83,4,"317",70,-275
84,3,"317",40,-50
85,3,"317",60,0
86,2,"317",120,0
87,1,"317",130,-150
88,4,"317",60,0
89,4,"317",55,0
90,3,"317",65,-25
91,4,"317",65,0
92,3,"317",55,0
93,2,"317",140,0
94,2,"317",110,0
95,1,"317",120,-250
96,4,"317",80,0
97,4,"317",40,0
98,3,"317",80,-50
99,4,"317",80,0
100,3,"317",40,-25
1,1,"318",100,0
2,3,"318",50,0
3,2,"318",100,0
4,4,"318",50,0
5,1,"318",120,0
6,3,"318",60,0
7,2,"318",80,0
8,4,"318",40,0
9,1,"318",80,-150
10,3,"318",40,-50
11,2,"318",110,0
12,4,"318",45,0
13,1,"318",90,0
14,3,"318",55,0
15,2,"318",120,0
16,4,"318",45,0
17,1,"318",110,-300
18,3,"318",55,-50
19,2,"318",90,0
20,4,"318",55,0
21,1,"318",100,0
22,3,"318",45,0
23,2,"318",100,0
24,4,"318",60,0
25,1,"318",80,-200
26,3,"318",50,-50
27,2,"318",90,0
28,4,"318",40,0
29,1,"318",120,0
30,3,"318",45,0
31,2,"318",120,0
32,4,"318",55,0
33,1,"318",110,-250
34,3,"318",60,-50
35,2,"318",110,-1250
36,4,"318",50,0
37,3,"318",40,-50
38,2,"318",80,0
39,1,"318",90,-350
40,2,"318",110,0
41,4,"318",60,-250
42,3,"318",55,0
43,1,"318",110,0
44,2,"318",100,0
45,4,"318",55,0
46,3,"318",55,-25
47,1,"318",130,-350
48,2,"318",90,0
49,4,"318",40,0
50,3,"318",65,-75
51,2,"318",130,-1500
52,1,"318",90,0
53,2,"318",120,0
54,1,"318",100,-250
55,2,"318",130,0
56,3,"318",45,0
57,4,"318",60,0
58,2,"318",110,0
59,3,"318",70,-25
60,4,"318",40,0
61,2,"318",90,0
62,3,"318",40,0
63,4,"318",45,0
64,2,"318",100,0
65,3,"318",50,-25
66,4,"318",55,0
67,2,"318",120,0
68,3,"318",60,-75
69,4,"318",65,0
70,2,"318",120,-1750
71,1,"318",120,-200
72,2,"318",110,0
73,2,"318",140,0
74,2,"318",130,0
75,2,"318",100,0
76,2,"318",110,0
77,2,"318",120,0
78,2,"318",120,0
79,2,"318",140,0
80,2,"318",110,0
81,2,"318",130,0
82,2,"318",140,-2000
83,2,"318",120,0
84,2,"318",110,0
85,2,"318",130,0
86,2,"318",150,0
87,3,"318",70,0
88,3,"318",40,-50
89,4,"318",70,0
90,4,"318",50,0
91,4,"318",70,-275
92,1,"318",110,0
93,1,"318",90,-300
94,2,"318",110,0
95,2,"318",150,0
96,2,"318",120,0
97,2,"318",140,0
98,2,"318",140,0
99,2,"318",150,0
100,2,"318",130,0
1,2,"319",100,0
2,4,"319",50,0
3,4,"319",40,0
4,1,"319",100,0
5,1,"319",120,0
6,1,"319",80,-150
7,2,"319",80,0
8,3,"319",50,0
9,2,"319",110,0
10,1,"319",90,0
11,4,"319",45,0
12,4,"319",45,0
13,1,"319",110,-300
14,3,"319",60,0
15,3,"319",40,-50
16,1,"319",100,0
17,3,"319",55,0
18,1,"319",80,-200
19,2,"319",120,0
20,2,"319",90,0
21,4,"319",55,0
22,3,"319",55,-50
23,3,"319",45,0
24,2,"319",100,0
25,1,"319",120,0
26,2,"319",90,0
27,2,"319",120,0
28,3,"319",50,-50
29,4,"319",60,0
30,1,"319",110,-250
31,4,"319",40,0
32,2,"319",110,-1250
33,4,"319",55,0
34,3,"319",45,0
35,4,"319",50,0
36,1,"319",90,-350
37,2,"319",80,0
38,1,"319",110,0
39,3,"319",60,-50
40,2,"319",110,0
41,2,"319",100,0
42,4,"319",60,-250
43,2,"319",90,0
44,1,"319",130,-350
45,3,"319",40,-50
46,1,"319",90,0
47,2,"319",130,-1500
48,1,"319",100,-250
49,4,"319",55,0
50,4,"319",40,0
51,2,"319",120,0
52,2,"319",130,0
53,1,"319",120,-200
54,3,"319",55,0
55,3,"319",55,-25
56,4,"319",60,0
57,1,"319",110,0
58,2,"319",110,0
59,2,"319",90,0
60,3,"319",65,-75
61,1,"319",90,-300
62,2,"319",100,0
63,1,"319",130,-150
64,3,"319",45,0
65,3,"319",70,-25
66,4,"319",40,0
67,2,"319",120,0
68,4,"319",45,0
69,3,"319",40,0
70,2,"319",120,-1750
71,4,"319",55,0
72,2,"319",110,0
73,3,"319",50,-25
74,4,"319",65,0
75,4,"319",70,0
76,2,"319",140,0
77,3,"319",60,-75
78,2,"319",130,0
79,4,"319",50,0
80,4,"319",70,-275
81,2,"319",100,0
82,3,"319",70,0
83,1,"319",120,-250
84,2,"319",110,0
85,2,"319",120,0
86,3,"319",40,-50
87,2,"319",120,0
88,4,"319",60,0
89,4,"319",55,0
90,2,"319",140,0
91,2,"319",110,0
92,4,"319",65,0
93,4,"319",80,0
94,2,"319",130,0
95,2,"319",140,-2000
96,1,"319",100,0
97,2,"319",120,0
98,2,"319",110,0
99,3,"319",60,0
100,2,"319",130,0
1,1,"320",100,0
2,1,"320",120,0
3,1,"320",80,-150
4,2,"320",100,0
5,2,"320",80,0
6,3,"320",50,0
7,3,"320",60,0
8,4,"320",50,0
9,4,"320",40,0
10,1,"320",90,0
11,2,"320",110,0
12,2,"320",120,0
13,3,"320",40,-50
14,1,"320",110,-300
15,2,"320",90,0
16,3,"320",55,0
17,4,"320",45,0
18,3,"320",55,-50
19,4,"320",45,0
20,1,"320",100,0
21,1,"320",80,-200
22,2,"320",100,0
23,3,"320",45,0
24,4,"320",55,0
25,1,"320",120,0
26,2,"320",90,0
27,3,"320",50,-50
28,1,"320",110,-250
29,2,"320",120,0
30,2,"320",110,-1250
31,3,"320",45,0
32,4,"320",60,0
33,4,"320",40,0
34,1,"320",90,-350
35,2,"320",80,0
36,4,"320",55,0
37,3,"320",60,-50
38,3,"320",40,-50
39,2,"320",110,0
40,1,"320",110,0
41,2,"320",100,0
42,3,"320",55,0
43,4,"320",50,0
44,1,"320",130,-350
45,2,"320",90,0
46,4,"320",60,-250
47,2,"320",130,-1500
48,3,"320",55,-25
49,3,"320",65,-75
50,1,"320",90,0
51,4,"320",55,0
52,4,"320",40,0
53,2,"320",120,0
54,3,"320",45,0
55,1,"320",100,-250
56,2,"320",130,0
57,3,"320",70,-25
58,4,"320",60,0
59,1,"320",120,-200
60,1,"320",110,0
61,2,"320",110,0
62,2,"320",90,0
63,4,"320",40,0
64,3,"320",40,0
65,2,"320",100,0
66,4,"320",45,0
67,1,"320",90,-300
68,1,"320",130,-150
69,2,"320",120,0
70,2,"320",120,-1750
71,2,"320",110,0
72,2,"320",140,0
73,2,"320",130,0
74,3,"320",50,-25
75,3,"320",60,-75
76,3,"320",70,0
77,4,"320",55,0
78,4,"320",65,0
79,4,"320",70,0
80,1,"320",120,-250
81,3,"320",40,-50
82,4,"320",50,0
83,4,"320",70,-275
84,1,"320",100,0
85,3,"320",60,0
